frame,time_s,detected,confidence,cx,cy,raw_cx,raw_cy,diameter,drift_px,status,candidates
0,0.000000,1,0.5184,3059.76,1589.78,3059.76,1589.78,54.35,0.00,ok,13
1,0.000000,1,0.3057,3060.06,1588.05,3054.61,1585.53,55.02,5.96,ok,10
2,0.008333,0,,,,,,,10.13,rejected-jump,8
3,0.016667,1,0.3987,3058.78,1588.47,3047.35,1583.79,54.71,12.39,ok,10
4,0.025000,1,0.3654,3058.88,1588.03,3046.82,1583.45,54.51,13.00,ok,7
5,0.033333,1,0.5700,3058.73,1588.60,3047.59,1584.71,55.04,11.92,ok,7
6,0.041667,0,,,,,,,8.78,rejected-jump,7
7,0.050000,1,0.5700,3060.22,1589.05,3055.98,1589.11,55.60,3.90,ok,9
8,0.058333,0,,,,,,,2.87,rejected-jump,8
9,0.066667,1,0.7094,3062.75,1589.67,3070.96,1595.42,55.45,9.95,ok,8
10,0.075000,1,0.3789,3062.62,1589.45,3076.88,1597.70,55.34,16.88,ok,9
11,0.083333,1,0.5374,3064.29,1589.72,3084.24,1598.85,56.16,22.80,ok,9
12,0.091667,1,0.3520,3065.31,1590.62,3091.02,1599.77,55.46,28.66,ok,11
13,0.100000,1,0.8371,3065.83,1590.06,3097.14,1598.34,55.48,34.15,ok,8
14,0.108333,1,0.8828,3067.08,1590.41,3103.13,1597.26,55.95,39.03,ok,7
15,0.116667,1,0.6909,3067.09,1590.88,3107.66,1596.59,55.42,43.62,ok,10
16,0.125000,1,0.6621,3067.77,1590.78,3112.06,1595.78,56.08,47.53,ok,13
17,0.133333,1,0.6432,3068.79,1590.56,3115.93,1595.07,55.93,50.53,ok,11
18,0.141667,1,0.5319,3070.04,1591.47,3119.26,1595.89,56.42,52.63,ok,13
19,0.150000,1,0.7029,3069.00,1590.97,3119.79,1595.98,55.93,54.29,ok,12
20,0.158333,1,0.3502,3069.84,1591.20,3121.71,1597.20,56.78,55.38,ok,11
21,0.166667,1,0.3763,3069.05,1591.29,3121.32,1598.65,55.81,55.77,ok,10
22,0.175000,1,0.4212,3068.95,1590.94,3121.04,1600.28,55.87,55.69,ok,7
23,0.183333,1,0.4895,3069.73,1590.81,3120.99,1602.77,56.78,55.13,ok,13
24,0.191667,1,0.6567,3068.76,1590.72,3118.97,1605.18,55.20,54.42,ok,8
25,0.200000,0,,,,,,,53.61,rejected-jump,7
26,0.208333,1,0.3172,3068.51,1590.99,3116.16,1609.64,55.76,52.75,ok,8
27,0.216667,0,,,,,,,52.11,rejected-jump,9
28,0.225000,1,0.3155,3068.67,1590.34,3114.20,1612.95,55.89,51.87,ok,10
29,0.233333,1,0.5219,3068.40,1590.63,3113.43,1614.89,56.35,52.00,ok,9
30,0.241667,1,0.4584,3067.97,1590.50,3112.54,1616.22,55.56,52.14,ok,9
31,0.250000,1,0.4057,3068.54,1589.71,3112.59,1616.41,56.60,52.05,ok,8
32,0.258333,1,0.3362,3068.47,1589.47,3112.00,1616.96,56.06,51.88,ok,8
33,0.266667,1,0.3115,3067.96,1589.63,3110.87,1617.43,55.11,51.46,ok,10
34,0.275000,1,0.4454,3067.97,1589.49,3110.10,1617.02,54.99,50.66,ok,8
35,0.283333,1,0.4399,3067.75,1587.71,3109.17,1614.52,57.64,49.75,ok,8
36,0.291667,1,0.3650,3067.61,1575.68,3108.37,1601.72,70.26,48.79,ok,9
37,0.300000,1,0.4544,3068.05,1588.15,3108.06,1613.68,58.11,47.95,ok,11
38,0.308333,1,0.3837,3068.29,1588.67,3107.68,1614.17,57.75,47.43,ok,9
39,0.316667,1,0.2913,3068.03,1590.39,3106.95,1615.71,55.91,46.96,ok,10
40,0.325000,1,0.2958,3068.07,1590.65,3106.64,1615.76,55.34,46.51,ok,7
41,0.333333,1,0.3927,3067.97,1590.64,3106.34,1615.63,55.39,46.32,ok,7
42,0.341667,0,,,,,,,46.17,rejected-jump,5
43,0.350000,0,,,,,,,45.84,rejected-size,7
44,0.358333,1,0.3226,3067.89,1590.22,3105.98,1613.10,55.03,45.24,ok,9
45,0.366667,1,0.4088,3068.07,1590.30,3105.60,1612.20,55.26,44.75,ok,11
46,0.375000,0,,,,,,,44.68,rejected-jump,11
47,0.383333,1,0.2696,3068.32,1590.82,3106.17,1612.24,55.17,44.90,ok,13
48,0.391667,0,,,,,,,45.52,rejected-jump,12
49,0.400000,0,,,,,,,46.62,rejected-size,8
50,0.408333,0,,,,,,,47.90,rejected-size,10
51,0.416667,1,0.3562,3068.14,1590.12,3110.24,1613.74,55.41,49.60,ok,9
52,0.425000,1,0.2807,3068.77,1590.62,3112.46,1615.39,56.09,51.48,ok,10
53,0.433333,1,0.2527,3068.86,1591.02,3114.11,1616.96,56.25,53.29,ok,8
54,0.441667,0,,,,,,,54.74,rejected-jump,6
55,0.450000,1,0.3271,3069.20,1590.82,3116.58,1619.17,55.74,56.13,ok,9
56,0.458333,1,0.3265,3069.01,1590.89,3117.17,1620.58,55.28,57.37,ok,11
57,0.466667,0,,,,,,,58.97,rejected-jump,11
58,0.475000,1,0.3645,3069.75,1591.94,3120.05,1625.14,55.40,60.72,ok,13
