frame,time_s,detected,confidence,cx,cy,raw_cx,raw_cy,diameter,drift_px,status,candidates
0,0.000000,0,,,,,,,0.00,rejected-distance,8
1,0.000000,1,0.3339,3176.48,1609.98,3176.75,1606.14,57.79,3.50,ok,11
2,0.008333,0,,,,,,,6.68,rejected-jump,7
3,0.016667,1,0.3211,3176.59,1610.22,3182.03,1601.30,58.44,10.30,ok,11
4,0.025000,1,0.2746,3178.37,1610.34,3188.07,1600.25,58.31,14.47,ok,11
5,0.033333,1,0.4963,3179.02,1610.34,3193.83,1599.86,58.22,19.21,ok,9
6,0.041667,1,0.2930,3180.03,1611.12,3199.86,1600.19,59.09,24.33,ok,9
7,0.050000,1,0.4812,3180.96,1611.11,3206.01,1599.78,58.33,29.77,ok,8
8,0.058333,1,0.4534,3182.26,1611.74,3212.57,1599.42,58.88,35.43,ok,11
9,0.066667,1,0.4886,3184.37,1612.11,3219.81,1598.82,58.87,41.21,ok,12
10,0.075000,1,0.4361,3185.01,1612.35,3226.39,1598.90,58.87,47.09,ok,11
11,0.083333,1,0.3881,3185.44,1613.01,3231.98,1599.20,59.34,52.79,ok,11
12,0.091667,1,0.4233,3186.77,1612.87,3238.10,1598.45,58.90,57.91,ok,10
13,0.100000,1,0.3410,3187.75,1613.02,3243.05,1597.49,58.61,62.31,ok,12
14,0.108333,0,,,,,,,66.14,rejected-jump,10
15,0.116667,0,,,,,,,69.17,rejected-size,9
16,0.125000,1,0.2504,3189.06,1613.78,3252.00,1592.81,58.32,71.39,ok,8
17,0.133333,1,0.2855,3189.00,1613.22,3253.08,1590.25,59.25,72.93,ok,8
18,0.141667,1,0.3181,3189.10,1612.84,3253.85,1588.61,59.17,73.84,ok,10
19,0.150000,1,0.4428,3188.67,1612.25,3253.74,1587.29,59.69,74.26,ok,8
20,0.158333,1,0.4584,3188.76,1612.35,3253.85,1586.91,59.54,74.22,ok,8
21,0.166667,1,0.4688,3188.76,1612.31,3253.61,1586.73,59.67,73.84,ok,9
22,0.175000,1,0.3686,3188.77,1612.49,3253.10,1587.14,59.72,73.14,ok,8
23,0.183333,1,0.3770,3188.66,1613.01,3252.26,1588.36,59.56,72.11,ok,8
24,0.191667,0,,,,,,,70.80,rejected-jump,7
25,0.200000,0,,,,,,,69.67,rejected-size,8
26,0.208333,0,,,,,,,68.54,rejected-size,8
27,0.216667,0,,,,,,,67.40,rejected-size,7
28,0.225000,0,,,,,,,66.19,rejected-size,6
29,0.233333,1,0.2719,3187.69,1613.30,3246.90,1593.44,58.66,65.08,ok,9
30,0.241667,0,,,,,,,64.06,rejected-jump,9
31,0.250000,0,,,,,,,63.13,rejected-size,10
32,0.258333,0,,,,,,,62.19,rejected-size,10
33,0.266667,0,,,,,,,61.50,rejected-size,6
34,0.275000,1,0.2585,3186.68,1613.62,3242.21,1594.78,58.22,60.97,ok,10
35,0.283333,0,,,,,,,60.46,rejected-jump,14
36,0.291667,1,0.4726,3185.82,1613.30,3240.48,1595.80,58.31,60.03,ok,14
37,0.300000,1,0.5341,3185.53,1613.13,3240.06,1596.50,58.76,59.88,ok,12
38,0.308333,1,0.3551,3185.75,1612.94,3240.27,1597.31,58.83,59.79,ok,11
39,0.316667,1,0.4386,3186.24,1612.79,3240.94,1598.20,59.68,59.94,ok,11
40,0.325000,1,0.4726,3186.45,1613.29,3241.46,1599.64,58.68,60.22,ok,10
41,0.333333,1,0.4319,3186.55,1612.83,3242.10,1599.99,58.50,60.83,ok,10
42,0.341667,1,0.2713,3187.01,1613.18,3243.26,1601.27,59.27,61.59,ok,9
43,0.350000,0,,,,,,,62.44,rejected-jump,7
44,0.358333,0,,,,,,,63.27,rejected-size,6
45,0.366667,0,,,,,,,63.96,rejected-size,7
46,0.375000,0,,,,,,,64.60,rejected-size,6
47,0.383333,0,,,,,,,65.10,rejected-size,7
48,0.391667,1,0.2526,3187.39,1613.68,3246.35,1602.11,59.07,65.50,ok,7
49,0.400000,1,0.3415,3187.33,1613.50,3246.21,1601.40,59.09,65.69,ok,8
50,0.408333,1,0.4595,3187.33,1613.43,3246.15,1601.09,58.86,65.88,ok,10
51,0.416667,1,0.4066,3187.41,1613.37,3246.08,1601.12,58.80,65.82,ok,9
52,0.425000,1,0.3203,3187.22,1613.77,3245.54,1601.96,59.32,65.50,ok,8
53,0.433333,0,,,,,,,64.98,rejected-jump,9
54,0.441667,0,,,,,,,64.22,rejected-size,9
55,0.450000,0,,,,,,,63.05,rejected-size,9
56,0.458333,1,0.2865,3186.12,1612.98,3240.86,1603.93,59.00,61.72,ok,10
57,0.466667,1,0.3200,3185.96,1613.11,3239.41,1605.11,59.37,60.37,ok,11
58,0.475000,0,,,,,,,59.05,rejected-jump,9
59,0.483333,0,,,,,,,57.85,rejected-size,8
60,0.492083,1,0.3173,3185.97,1613.64,3235.84,1609.38,57.83,56.49,ok,10
61,0.500417,0,,,,,,,55.26,rejected-jump,11
62,0.508750,1,0.2788,3185.02,1613.69,3232.76,1612.29,58.90,54.10,ok,11
63,0.517083,1,0.2876,3185.18,1613.49,3232.22,1613.64,59.03,53.16,ok,10
64,0.525417,1,0.3371,3185.30,1613.62,3231.91,1615.64,60.02,52.53,ok,9
65,0.533750,0,,,,,,,52.23,rejected-jump,10
66,0.542083,1,0.4778,3185.33,1613.48,3232.00,1620.89,59.27,52.27,ok,9
67,0.550417,1,0.4675,3185.39,1614.17,3232.21,1624.49,59.15,52.46,ok,8
68,0.558750,0,,,,,,,52.58,rejected-jump,9
69,0.567083,1,0.5265,3185.17,1613.97,3231.78,1629.31,58.42,52.62,ok,9
70,0.575417,1,0.4245,3185.42,1613.74,3231.70,1630.91,59.73,52.48,ok,9
71,0.583750,1,0.3882,3185.48,1613.57,3231.45,1632.19,59.72,52.42,ok,9
72,0.592083,1,0.3362,3185.53,1613.35,3231.11,1632.93,59.58,52.17,ok,11
73,0.600417,1,0.3235,3185.43,1613.04,3230.43,1633.23,59.03,51.69,ok,12
74,0.608750,0,,,,,,,50.85,rejected-jump,7
75,0.617083,0,,,,,,,50.00,rejected-size,8
76,0.625417,0,,,,,,,49.12,rejected-size,8
77,0.633750,0,,,,,,,48.11,rejected-size,9
78,0.642083,0,,,,,,,46.99,rejected-size,9
79,0.650417,1,0.3120,3183.61,1612.76,3222.26,1636.32,59.04,45.86,ok,11
80,0.658750,1,0.5343,3183.70,1612.89,3220.75,1637.36,58.91,44.54,ok,11
81,0.667083,1,0.4119,3184.12,1613.09,3219.58,1638.47,58.49,43.35,ok,10
82,0.675417,1,0.3960,3182.97,1613.08,3216.78,1639.39,58.58,42.10,ok,9
83,0.683750,1,0.3599,3183.01,1612.94,3215.18,1640.39,58.61,40.98,ok,10
84,0.692083,1,0.2520,3182.79,1612.68,3213.18,1641.53,58.35,39.99,ok,9
85,0.700417,0,,,,,,,39.26,rejected-jump,10
86,0.708750,1,0.4344,3182.03,1612.47,3209.19,1643.86,58.55,38.27,ok,7
87,0.717083,1,0.4404,3181.78,1612.41,3207.39,1644.40,58.89,37.24,ok,11
88,0.725417,1,0.5276,3181.62,1612.11,3205.66,1644.45,58.20,36.10,ok,12
89,0.733750,1,0.4098,3181.98,1612.28,3204.62,1644.88,58.30,35.15,ok,10
90,0.742083,1,0.3746,3181.96,1612.29,3203.51,1645.05,58.38,34.37,ok,9
91,0.750417,1,0.4890,3181.70,1612.11,3202.42,1645.06,57.86,33.87,ok,9
