frame,time_s,detected,confidence,cx,cy,raw_cx,raw_cy,diameter,drift_px,status,candidates
0,0.000000,1,0.3951,1628.51,822.08,1628.51,822.08,30.09,0.00,ok,4
1,0.000000,1,0.5198,1628.71,822.40,1627.76,821.77,29.68,1.09,ok,5
2,0.004167,1,0.2836,1628.99,822.45,1627.40,821.16,29.95,2.07,ok,4
3,0.008333,1,0.3886,1629.27,822.57,1627.23,820.70,29.89,2.87,ok,3
4,0.012500,1,0.4020,1629.04,822.06,1626.76,819.72,30.34,3.47,ok,4
5,0.016667,1,0.3223,1629.02,822.14,1626.68,819.50,30.20,3.87,ok,3
6,0.020833,1,0.2671,1628.87,822.12,1626.61,819.26,30.17,4.15,ok,1
7,0.025000,1,0.2570,1628.86,822.26,1626.93,819.26,30.13,4.30,ok,1
8,0.029167,0,,,,,,,4.45,rejected-jump,1
9,0.033333,0,,,,,,,4.65,rejected-jump,2
10,0.037500,1,0.3966,1629.11,822.22,1629.36,819.18,30.69,4.95,ok,3
11,0.041667,1,0.3116,1629.66,822.38,1630.82,819.68,30.54,5.23,ok,2
12,0.045833,1,0.3318,1629.72,823.02,1632.10,820.68,30.06,5.87,ok,2
13,0.050000,1,0.4176,1629.80,823.13,1633.62,821.10,29.92,6.86,ok,3
14,0.054167,0,,,,,,,8.09,rejected-jump,1
15,0.058333,0,,,,,,,9.48,rejected-size,2
16,0.062500,0,,,,,,,10.94,rejected-size,2
17,0.066667,1,0.2774,1630.44,823.43,1640.73,823.13,29.43,12.48,ok,3
18,0.070833,1,0.5020,1630.70,823.04,1642.69,823.26,29.59,14.07,ok,4
19,0.075000,1,0.3619,1630.95,823.01,1644.61,823.70,30.63,15.68,ok,2
20,0.079167,1,0.6886,1631.44,823.14,1646.78,824.30,30.75,17.32,ok,2
21,0.083333,1,0.3134,1631.37,822.83,1648.33,824.35,30.36,18.96,ok,4
22,0.087500,1,0.3726,1631.67,822.91,1650.25,824.77,29.68,20.60,ok,2
23,0.091667,0,,,,,,,22.07,rejected-jump,4
24,0.095833,1,0.5588,1631.96,822.97,1653.31,825.22,30.13,23.41,ok,3
25,0.100000,1,0.5477,1632.26,823.10,1654.77,825.43,30.50,24.59,ok,5
26,0.104167,1,0.5212,1632.16,823.23,1655.73,825.58,30.58,25.67,ok,4
27,0.108333,1,0.3977,1632.33,822.98,1656.79,825.29,30.14,26.63,ok,4
28,0.112500,1,0.2778,1632.65,822.83,1657.83,824.99,29.94,27.41,ok,4
29,0.116667,0,,,,,,,28.04,rejected-jump,3
30,0.120833,0,,,,,,,28.63,rejected-size,2
31,0.125000,0,,,,,,,29.07,rejected-size,3
32,0.129167,1,0.3085,1632.78,823.47,1659.66,823.99,30.12,29.41,ok,3
33,0.133333,1,0.4625,1633.04,823.63,1660.00,823.65,29.91,29.61,ok,6
34,0.137500,1,0.4707,1632.95,823.55,1659.79,823.04,30.05,29.63,ok,5
35,0.141667,1,0.4653,1632.83,823.68,1659.40,822.66,28.68,29.50,ok,4
36,0.145833,1,0.3375,1632.86,823.68,1659.11,822.17,29.51,29.28,ok,4
37,0.150000,1,0.2782,1633.09,823.53,1658.87,821.51,30.11,28.96,ok,5
38,0.154167,1,0.4910,1633.07,823.67,1658.37,821.13,30.13,28.65,ok,4
39,0.158333,1,0.4459,1632.86,823.33,1657.62,820.31,30.67,28.27,ok,4
40,0.162500,1,0.5599,1632.71,823.54,1656.96,820.05,30.29,27.89,ok,6
41,0.166667,1,0.5524,1632.27,823.49,1656.00,819.59,30.41,27.51,ok,3
42,0.170833,1,0.4756,1632.01,823.38,1655.18,819.14,30.71,27.08,ok,4
43,0.175000,1,0.2913,1632.07,823.33,1654.73,818.70,30.59,26.70,ok,5
44,0.179167,0,,,,,,,26.36,rejected-jump,2
45,0.183333,1,0.2621,1632.23,823.14,1653.96,817.80,30.30,26.04,ok,5
46,0.187500,0,,,,,,,25.72,rejected-jump,3
47,0.191667,0,,,,,,,25.41,rejected-size,3
48,0.195833,0,,,,,,,25.13,rejected-size,2
49,0.200000,0,,,,,,,24.96,rejected-size,2
50,0.204167,0,,,,,,,24.80,rejected-size,2
51,0.208333,0,,,,,,,24.73,rejected-size,2
52,0.212500,0,,,,,,,24.68,rejected-size,2
53,0.216667,0,,,,,,,24.68,rejected-size,4
54,0.220833,0,,,,,,,24.70,rejected-size,1
55,0.225000,0,,,,,,,24.66,rejected-size,3
56,0.229167,0,,,,,,,24.62,rejected-size,2
57,0.233333,0,,,,,,,24.62,rejected-size,2
58,0.237500,1,0.3715,1631.77,823.69,1649.36,814.12,30.04,24.64,ok,3
59,0.241667,1,0.3827,1631.94,823.64,1649.22,813.73,30.28,24.64,ok,5
60,0.245833,1,0.2819,1631.95,823.49,1648.92,813.26,30.45,24.64,ok,3
61,0.250000,0,,,,,,,24.60,rejected-jump,4
62,0.254167,1,0.2890,1631.55,823.43,1647.88,812.70,30.68,24.56,ok,6
63,0.258333,1,0.4774,1631.60,823.41,1647.60,812.43,30.65,24.51,ok,6
64,0.262500,1,0.6189,1631.64,823.37,1647.30,812.14,30.58,24.46,ok,6
65,0.266667,1,0.5372,1631.62,823.39,1646.95,811.88,30.62,24.42,ok,7
66,0.270833,1,0.4333,1631.45,823.12,1646.45,811.32,30.49,24.40,ok,5
67,0.275000,1,0.6430,1631.37,822.98,1645.98,810.93,30.71,24.32,ok,8
68,0.279167,1,0.6684,1631.45,823.19,1645.63,810.88,30.56,24.22,ok,6
69,0.283333,1,0.5446,1631.12,823.65,1644.83,811.16,30.03,24.03,ok,6
70,0.287500,1,0.3575,1630.96,823.47,1644.12,810.83,29.78,23.78,ok,4
71,0.291667,0,,,,,,,23.53,rejected-jump,4
72,0.295833,0,,,,,,,23.31,rejected-jump,1
73,0.300000,0,,,,,,,23.14,rejected-size,3
74,0.304167,0,,,,,,,22.98,rejected-jump,2
75,0.308333,0,,,,,,,22.90,rejected-size,5
76,0.312500,0,,,,,,,22.86,rejected-jump,1
77,0.316667,0,,,,,,,22.87,rejected-size,3
78,0.320833,0,,,,,,,22.89,rejected-size,2
79,0.325000,0,,,,,,,22.91,rejected-size,4
80,0.329167,1,0.2642,1630.22,823.50,1637.70,807.76,30.15,22.97,ok,5
81,0.333333,0,,,,,,,22.98,rejected-jump,5
82,0.337500,0,,,,,,,23.02,rejected-size,3
83,0.341667,1,0.2601,1629.90,823.51,1635.81,806.94,28.93,23.10,ok,4
84,0.345833,1,0.3481,1629.61,823.48,1635.07,806.62,29.21,23.22,ok,4
85,0.350000,1,0.2842,1629.53,823.57,1634.56,806.38,29.35,23.39,ok,5
86,0.354167,1,0.3086,1629.87,823.82,1634.48,806.28,29.04,23.60,ok,3
87,0.358333,1,0.3606,1629.95,824.26,1634.17,806.23,28.93,23.93,ok,5
88,0.362500,1,0.4103,1629.52,824.28,1633.31,805.79,28.69,24.27,ok,8
89,0.366667,0,,,,,,,24.60,rejected-jump,8
90,0.370833,0,,,,,,,24.95,rejected-size,3
91,0.375000,1,0.5447,1629.43,823.63,1631.70,803.75,30.22,25.30,ok,5
92,0.379167,1,0.6788,1629.33,823.38,1631.10,803.10,30.28,25.62,ok,5
93,0.383333,1,0.4806,1629.42,823.55,1630.76,802.93,30.16,25.89,ok,3
94,0.387500,1,0.3907,1629.34,823.44,1630.28,802.50,30.23,26.17,ok,3
95,0.391667,0,,,,,,,26.37,rejected-jump,2
96,0.395833,0,,,,,,,26.56,rejected-size,2
97,0.400000,0,,,,,,,26.59,rejected-size,3
98,0.404167,0,,,,,,,26.54,rejected-size,3
99,0.408333,0,,,,,,,26.32,rejected-size,4
100,0.412500,1,0.2679,1628.97,823.43,1628.46,802.66,30.11,25.93,ok,4
101,0.416667,1,0.3816,1629.03,823.36,1628.39,803.07,30.14,25.47,ok,3
102,0.420833,1,0.2661,1629.06,822.94,1628.31,803.16,30.39,24.98,ok,3
103,0.425000,0,,,,,,,24.43,rejected-jump,3
104,0.429167,0,,,,,,,23.89,rejected-size,4
105,0.433333,1,0.3225,1629.02,823.31,1628.26,805.22,29.88,23.30,ok,6
106,0.437500,1,0.5474,1629.02,823.39,1628.27,805.85,29.42,22.74,ok,5
107,0.441667,1,0.5487,1629.61,823.68,1628.78,806.59,28.16,22.26,ok,5
108,0.445833,1,0.4950,1629.88,823.75,1629.01,807.03,28.45,21.88,ok,3
109,0.450000,1,0.4190,1628.97,823.63,1627.94,807.19,29.20,21.54,ok,4
110,0.454167,1,0.3209,1628.92,823.45,1627.83,807.24,29.51,21.29,ok,5
111,0.458333,1,0.3408,1628.82,823.37,1627.64,807.21,29.68,21.24,ok,6
112,0.462500,1,0.4044,1628.85,823.34,1627.45,807.20,29.77,21.18,ok,5
113,0.466667,1,0.4525,1628.90,823.51,1627.25,807.27,29.54,21.23,ok,5
114,0.470833,1,0.4030,1628.96,823.59,1627.04,807.08,29.51,21.44,ok,6
115,0.475000,1,0.5632,1629.05,823.55,1626.86,806.65,29.32,21.75,ok,6
116,0.479167,1,0.4920,1629.14,823.62,1626.69,806.33,29.24,22.07,ok,5
