frame,time_s,detected,confidence,cx,cy,raw_cx,raw_cy,diameter,drift_px,status,candidates
0,0.000000,1,0.4810,3241.58,1727.70,3241.58,1727.70,58.49,0.00,ok,7
1,0.000000,1,0.6577,3241.61,1727.50,3240.06,1723.83,58.41,4.27,ok,9
2,0.008333,1,0.6433,3240.89,1726.69,3237.89,1719.70,58.42,8.22,ok,7
3,0.016667,1,0.8185,3240.10,1727.52,3235.58,1716.80,58.41,12.70,ok,11
4,0.025000,1,0.7429,3239.55,1726.98,3234.35,1711.41,58.07,17.98,ok,9
5,0.033333,1,0.6574,3240.17,1726.93,3235.76,1707.26,57.58,22.40,ok,8
6,0.041667,1,0.4950,3240.57,1727.46,3238.68,1705.51,57.38,25.15,ok,7
7,0.050000,1,0.6985,3240.83,1727.29,3242.83,1704.92,58.07,26.80,ok,7
8,0.058333,1,0.8161,3241.47,1727.32,3248.29,1706.11,58.26,28.11,ok,7
9,0.066667,1,0.7854,3242.79,1727.99,3254.88,1708.77,58.49,30.08,ok,8
10,0.075000,1,0.8060,3243.75,1728.81,3260.84,1711.27,58.99,33.37,ok,9
11,0.083333,1,0.7712,3244.49,1728.71,3266.63,1712.42,58.40,37.82,ok,9
12,0.091667,1,0.7598,3245.76,1729.04,3272.17,1713.31,59.03,42.49,ok,8
13,0.100000,1,0.7405,3246.43,1729.21,3276.48,1713.38,59.10,47.10,ok,10
14,0.108333,1,0.7720,3246.87,1729.49,3280.38,1713.11,58.77,51.55,ok,7
15,0.116667,1,0.5611,3247.51,1729.38,3284.53,1712.24,59.02,55.84,ok,8
16,0.125000,1,0.6810,3248.06,1729.58,3288.69,1712.40,59.23,59.68,ok,7
17,0.133333,1,0.7755,3248.64,1729.95,3292.83,1713.49,59.14,62.98,ok,8
18,0.141667,1,0.7746,3248.86,1730.57,3296.41,1714.99,58.96,65.93,ok,7
19,0.150000,1,0.6460,3249.70,1730.73,3299.97,1716.35,59.46,67.97,ok,9
20,0.158333,1,0.8329,3250.25,1731.38,3302.82,1717.82,59.63,69.66,ok,7
21,0.166667,1,0.8416,3250.58,1731.61,3305.25,1718.40,59.11,71.34,ok,8
22,0.175000,1,0.7915,3250.53,1731.08,3307.32,1718.40,59.47,72.97,ok,7
