frame,time_s,detected,confidence,cx,cy,raw_cx,raw_cy,diameter,drift_px,status,candidates
0,0.000000,1,0.2709,3059.38,1608.13,3059.38,1608.13,76.42,0.00,ok,10
1,0.000000,1,0.3328,3059.82,1628.70,3057.09,1627.71,56.28,2.90,ok,9
2,0.008333,0,,,,,,,5.11,rejected-jump,6
3,0.016667,0,,,,,,,6.67,rejected-size,6
4,0.025000,1,0.2883,3059.11,1629.22,3052.71,1625.18,55.35,7.42,ok,7
5,0.033333,0,,,,,,,7.72,rejected-jump,7
6,0.041667,0,,,,,,,8.06,rejected-size,6
7,0.050000,0,,,,,,,9.25,rejected-size,7
8,0.058333,0,,,,,,,11.00,rejected-size,7
9,0.066667,0,,,,,,,13.66,rejected-size,6
10,0.075000,0,,,,,,,17.23,rejected-size,7
11,0.083333,0,,,,,,,22.11,rejected-size,7
12,0.091667,0,,,,,,,27.69,rejected-size,7
13,0.100000,0,,,,,,,33.42,rejected-size,7
14,0.108333,0,,,,,,,38.81,rejected-size,9
15,0.116667,0,,,,,,,43.62,rejected-size,6
16,0.125000,0,,,,,,,47.76,rejected-size,7
17,0.133333,0,,,,,,,51.16,rejected-size,7
18,0.141667,0,,,,,,,53.91,rejected-size,7
19,0.150000,0,,,,,,,55.71,rejected-size,6
20,0.158333,0,,,,,,,56.75,rejected-size,6
21,0.166667,0,,,,,,,57.05,rejected-size,7
22,0.175000,0,,,,,,,56.68,rejected-size,6
23,0.183333,1,0.3637,3065.66,1631.17,3113.19,1613.95,57.06,55.76,ok,8
24,0.191667,1,0.2620,3065.52,1622.65,3111.72,1605.57,65.16,54.48,ok,10
25,0.200000,1,0.4126,3064.89,1630.44,3109.64,1613.44,57.31,53.16,ok,10
26,0.208333,1,0.4257,3065.51,1630.58,3108.78,1613.48,57.02,51.85,ok,9
27,0.216667,1,0.2896,3064.91,1630.62,3106.57,1613.31,56.98,50.45,ok,7
28,0.225000,1,0.2506,3065.04,1631.00,3105.11,1613.71,56.55,49.09,ok,7
29,0.233333,0,,,,,,,47.87,rejected-jump,6
30,0.241667,1,0.2601,3063.81,1630.36,3101.43,1613.67,57.05,46.87,ok,9
31,0.250000,1,0.3574,3064.22,1630.13,3100.98,1613.55,57.20,46.17,ok,9
32,0.258333,1,0.3862,3064.24,1630.32,3100.28,1613.57,57.21,45.62,ok,10
