frame,time_s,detected,confidence,cx,cy,raw_cx,raw_cy,diameter,drift_px,status,candidates
0,0.000000,0,,,,,,,0.00,rejected-distance,9
1,0.000000,0,,,,,,,1.78,rejected-distance,9
2,0.008333,0,,,,,,,4.35,rejected-distance,10
3,0.016667,0,,,,,,,8.71,rejected-distance,10
4,0.025000,0,,,,,,,14.50,rejected-distance,9
5,0.033333,0,,,,,,,21.34,rejected-distance,9
6,0.041667,0,,,,,,,28.76,rejected-distance,10
7,0.050000,0,,,,,,,36.92,rejected-distance,9
8,0.058333,0,,,,,,,45.07,rejected-distance,8
9,0.066667,0,,,,,,,52.52,rejected-distance,8
10,0.075000,0,,,,,,,59.42,rejected-distance,8
11,0.083333,0,,,,,,,65.50,rejected-distance,7
12,0.091667,0,,,,,,,70.77,rejected-distance,9
13,0.100000,1,0.3645,2923.09,1619.89,2994.19,1639.53,54.34,75.07,ok,10
14,0.108333,0,,,,,,,78.25,rejected-jump,8
15,0.116667,0,,,,,,,80.33,rejected-jump,9
16,0.125000,0,,,,,,,81.21,rejected-size,9
17,0.133333,0,,,,,,,81.22,rejected-size,9
18,0.141667,0,,,,,,,80.64,rejected-size,9
19,0.150000,0,,,,,,,79.73,rejected-size,8
20,0.158333,0,,,,,,,78.37,rejected-size,9
21,0.166667,0,,,,,,,76.52,rejected-size,10
22,0.175000,0,,,,,,,74.38,rejected-size,9
23,0.183333,0,,,,,,,72.14,rejected-size,9
24,0.191667,0,,,,,,,69.69,rejected-size,8
25,0.200000,0,,,,,,,67.11,rejected-size,8
26,0.208333,0,,,,,,,64.58,rejected-size,6
27,0.216667,0,,,,,,,62.32,rejected-size,8
28,0.225000,0,,,,,,,60.50,rejected-size,9
29,0.233333,0,,,,,,,59.51,rejected-size,8
30,0.241667,1,0.3961,2921.88,1618.37,2977.97,1625.10,54.23,59.00,ok,9
31,0.250000,1,0.4274,2921.95,1618.80,2978.10,1624.50,54.55,59.19,ok,9
32,0.258333,1,0.4350,2921.59,1618.37,2978.17,1623.43,54.67,59.78,ok,9
33,0.266667,1,0.2779,2921.57,1618.30,2979.15,1622.69,54.43,60.90,ok,9
34,0.275000,1,0.4063,2921.87,1618.37,2980.78,1622.39,54.09,62.41,ok,9
35,0.283333,0,,,,,,,64.11,rejected-jump,7
36,0.291667,0,,,,,,,65.82,rejected-jump,7
37,0.300000,0,,,,,,,67.51,rejected-size,9
38,0.308333,0,,,,,,,69.28,rejected-size,8
39,0.316667,0,,,,,,,71.13,rejected-size,9
40,0.325000,0,,,,,,,73.06,rejected-size,7
41,0.333333,1,0.2855,2922.76,1619.21,2993.07,1620.62,55.13,74.75,ok,8
42,0.341667,0,,,,,,,76.04,rejected-jump,7
43,0.350000,0,,,,,,,76.92,rejected-jump,7
44,0.358333,0,,,,,,,77.53,rejected-size,8
45,0.366667,0,,,,,,,77.89,rejected-size,9
46,0.375000,0,,,,,,,78.22,rejected-size,9
