frame,time_s,detected,confidence,cx,cy,raw_cx,raw_cy,diameter,drift_px,status,candidates
69,0.567083,1,0.6273,2974.78,1575.74,2987.21,1604.49,55.78,29.45,ok,11
70,0.575417,1,0.5633,2971.96,1575.90,2982.72,1604.41,52.60,28.52,ok,11
71,0.583750,1,0.6824,2973.74,1576.38,2983.05,1604.90,54.70,27.94,ok,11
72,0.592083,1,0.5508,2974.42,1576.42,2982.75,1604.81,55.25,27.43,ok,11
73,0.600417,1,0.4643,2974.66,1576.41,2982.49,1604.79,55.48,27.18,ok,12
74,0.608750,1,0.4706,2974.48,1576.81,2982.34,1605.57,55.22,27.45,ok,12
75,0.617083,1,0.5169,2974.82,1576.59,2982.88,1606.05,55.97,28.09,ok,11
76,0.625417,1,0.5300,2974.42,1576.44,2982.60,1606.80,55.76,28.85,ok,12
77,0.633750,1,0.5468,2974.46,1576.15,2982.63,1607.73,55.74,29.86,ok,11
78,0.642083,1,0.4990,2974.95,1577.46,2983.03,1610.40,55.22,30.94,ok,11
79,0.650417,1,0.4597,2974.94,1577.77,2982.86,1611.84,54.72,31.84,ok,11
80,0.658750,1,0.6679,2974.31,1577.41,2982.15,1612.65,54.72,32.82,ok,10
81,0.667083,1,0.7379,2974.30,1576.77,2982.27,1613.26,54.35,33.90,ok,11
82,0.675417,1,0.4792,2974.28,1576.72,2982.23,1614.47,54.61,34.98,ok,11
83,0.683750,1,0.4339,2974.38,1576.39,2982.57,1615.59,54.69,36.27,ok,10
84,0.692083,1,0.3104,2974.41,1577.55,2983.19,1618.20,54.25,37.65,ok,12
85,0.700417,1,0.4681,2974.18,1577.41,2983.89,1619.60,54.12,39.34,ok,10
86,0.708750,1,0.6802,2974.21,1576.99,2984.99,1620.86,54.72,41.21,ok,11
87,0.717083,1,0.6573,2974.79,1576.10,2986.58,1621.51,55.43,42.99,ok,13
88,0.725417,1,0.7812,2974.93,1576.50,2987.47,1623.16,55.33,44.43,ok,11
89,0.733750,1,0.7638,2975.02,1576.41,2988.20,1624.10,55.46,45.58,ok,11
90,0.742083,1,0.4824,2975.22,1576.35,2988.95,1624.75,55.95,46.50,ok,11
91,0.750417,1,0.6075,2975.16,1576.46,2989.37,1625.55,55.59,47.39,ok,11
92,0.758750,1,0.6041,2975.22,1577.10,2989.74,1626.77,55.33,48.08,ok,11
93,0.767083,1,0.7208,2975.25,1577.37,2989.78,1627.27,55.15,48.34,ok,11
94,0.775417,1,0.7795,2974.94,1577.27,2989.07,1627.06,54.76,48.16,ok,11
