frame,time_s,detected,confidence,cx,cy,raw_cx,raw_cy,diameter,drift_px,status,candidates
0,0.000000,1,0.2780,3256.18,1654.60,3256.18,1654.60,56.47,0.00,ok,11
1,0.000000,1,0.3083,3256.11,1655.02,3257.08,1653.95,57.11,2.06,ok,12
2,0.008333,1,0.5637,3256.15,1655.14,3257.91,1652.55,57.44,4.33,ok,11
3,0.016667,1,0.3871,3256.38,1654.44,3258.93,1650.07,58.19,6.70,ok,8
4,0.025000,1,0.3229,3256.71,1653.80,3259.90,1648.27,57.69,8.38,ok,12
5,0.033333,1,0.4077,3256.74,1654.31,3260.62,1648.35,56.91,9.26,ok,10
6,0.041667,1,0.5616,3256.58,1654.61,3261.47,1648.71,57.10,9.85,ok,10
7,0.050000,1,0.3679,3257.52,1654.80,3263.74,1649.22,57.85,10.61,ok,10
8,0.058333,1,0.5902,3258.12,1655.28,3265.83,1650.77,58.10,11.27,ok,11
9,0.066667,1,0.7537,3257.98,1656.01,3267.12,1653.19,58.29,11.85,ok,9
10,0.075000,1,0.5273,3258.05,1656.02,3268.56,1655.13,56.93,12.62,ok,10
11,0.083333,1,0.6094,3258.01,1655.60,3269.56,1656.85,56.76,13.33,ok,14
12,0.091667,1,0.7159,3258.46,1656.18,3270.85,1659.39,56.78,14.05,ok,11
13,0.100000,1,0.7568,3258.52,1655.75,3271.48,1660.57,56.67,14.71,ok,11
14,0.108333,1,0.6520,3258.84,1655.27,3272.26,1661.65,56.70,15.38,ok,10
15,0.116667,1,0.7468,3259.01,1654.71,3272.70,1662.63,56.85,15.98,ok,13
16,0.125000,1,0.7034,3259.09,1654.80,3272.98,1663.88,58.10,16.48,ok,11
17,0.133333,1,0.6258,3259.72,1654.72,3273.29,1664.81,57.31,16.52,ok,11
18,0.141667,1,0.7262,3259.71,1655.21,3272.73,1665.70,56.81,16.20,ok,12
19,0.150000,1,0.7014,3258.60,1654.71,3270.96,1664.89,56.88,15.44,ok,12
20,0.158333,1,0.5957,3257.82,1654.74,3269.18,1664.36,57.16,14.29,ok,11
21,0.166667,1,0.6652,3257.66,1654.30,3267.91,1663.26,57.69,12.99,ok,11
22,0.175000,1,0.7909,3256.87,1654.47,3266.02,1662.66,57.27,11.68,ok,11
23,0.183333,1,0.7868,3256.79,1654.76,3264.85,1662.46,56.74,10.47,ok,12
24,0.191667,1,0.8703,3257.15,1654.43,3264.33,1662.29,56.26,9.70,ok,11
25,0.200000,1,0.8809,3257.24,1654.38,3263.78,1662.86,56.88,9.45,ok,12
26,0.208333,1,0.7814,3256.33,1654.24,3262.42,1663.93,56.71,9.81,ok,11
27,0.216667,1,0.7319,3256.47,1654.91,3262.34,1666.44,56.82,10.95,ok,10
28,0.225000,1,0.7142,3256.51,1655.03,3261.99,1668.33,56.48,12.07,ok,9
29,0.233333,1,0.6115,3256.31,1654.90,3261.25,1669.55,56.87,12.82,ok,9
30,0.241667,1,0.5363,3255.94,1654.48,3260.01,1669.90,56.52,13.03,ok,7
31,0.250000,1,0.6314,3255.83,1654.35,3258.61,1670.59,57.02,13.19,ok,9
32,0.258333,1,0.3367,3255.26,1654.34,3256.55,1671.06,56.67,13.13,ok,9
33,0.266667,1,0.5473,3255.39,1655.05,3255.10,1671.80,57.16,12.74,ok,10
34,0.275000,1,0.3302,3254.98,1654.65,3253.27,1671.09,56.15,12.30,ok,9
35,0.283333,1,0.3485,3254.38,1654.73,3251.46,1670.76,56.17,11.93,ok,10
36,0.291667,1,0.5492,3254.24,1654.62,3250.34,1670.52,57.05,11.96,ok,9
37,0.300000,1,0.5475,3254.16,1654.36,3249.85,1670.77,57.01,12.41,ok,10
38,0.308333,1,0.5482,3254.16,1654.39,3249.92,1671.83,57.37,13.11,ok,10
39,0.316667,0,,,,,,,14.25,rejected-jump,10
40,0.325000,1,0.3914,3254.86,1655.30,3251.93,1676.82,56.98,15.85,ok,8
41,0.333333,0,,,,,,,17.37,rejected-jump,10
