frame,time_s,detected,confidence,cx,cy,raw_cx,raw_cy,diameter,drift_px,status,candidates
0,0.000000,1,0.8927,2926.29,1551.05,2926.29,1551.05,53.68,0.00,ok,6
1,0.000000,1,0.9297,2926.76,1551.48,2927.80,1549.89,54.16,1.52,ok,6
2,0.008333,1,0.8933,2926.89,1551.86,2930.21,1548.84,54.42,4.02,ok,7
3,0.016667,1,0.9051,2926.17,1552.22,2933.29,1547.53,54.21,8.09,ok,7
4,0.025000,1,0.8813,2927.03,1552.35,2939.13,1546.36,53.74,13.19,ok,7
5,0.033333,1,0.8684,2927.37,1552.42,2945.40,1545.79,54.75,19.12,ok,7
6,0.041667,1,0.8470,2928.12,1552.77,2953.32,1545.91,55.06,25.96,ok,6
7,0.050000,1,0.9244,2928.43,1552.83,2961.56,1546.59,54.99,33.64,ok,9
8,0.058333,1,0.8084,2928.28,1552.86,2970.31,1548.39,54.87,41.72,ok,8
9,0.066667,1,0.8918,2928.57,1552.82,2979.76,1551.41,54.31,50.33,ok,7
10,0.075000,1,0.8970,2929.44,1553.38,2989.11,1555.91,55.41,58.88,ok,8
11,0.083333,1,0.9112,2929.23,1553.47,2997.84,1560.51,55.01,67.39,ok,8
12,0.091667,1,0.9118,2929.67,1552.75,3006.46,1564.66,54.80,75.73,ok,6
13,0.100000,1,0.9181,2929.79,1552.97,3014.42,1569.33,54.80,83.64,ok,9
14,0.108333,1,0.8669,2930.27,1552.95,3021.69,1572.47,55.33,90.47,ok,7
15,0.116667,1,0.8657,2930.32,1552.66,3027.62,1574.86,54.42,96.20,ok,7
16,0.125000,1,0.9197,2930.54,1553.76,3032.93,1579.00,55.78,101.48,ok,8
17,0.133333,1,0.9389,2930.47,1552.99,3037.97,1581.47,54.93,106.89,ok,7
18,0.141667,1,0.9050,2930.71,1553.56,3043.49,1585.35,55.43,112.36,ok,7
19,0.150000,1,0.8780,2930.84,1553.84,3048.58,1588.35,56.47,117.56,ok,6
20,0.158333,1,0.8978,2931.00,1553.92,3052.92,1590.82,55.53,121.84,ok,8
21,0.166667,1,0.9157,2931.41,1553.67,3056.62,1592.82,56.67,125.46,ok,10
22,0.175000,1,0.9255,2931.25,1553.77,3058.52,1594.32,55.69,127.85,ok,11
23,0.183333,1,0.8978,2931.49,1553.81,3060.06,1595.12,55.73,129.29,ok,10
24,0.191667,1,0.9152,2931.46,1553.93,3060.69,1595.89,56.13,130.20,ok,9
25,0.200000,1,0.9385,2931.27,1553.60,3060.90,1596.51,55.90,130.99,ok,12
26,0.208333,1,0.9443,2930.83,1553.43,3061.01,1596.98,55.12,131.86,ok,11
27,0.216667,1,0.9444,2931.18,1553.49,3062.51,1597.31,55.17,133.15,ok,9
28,0.225000,1,0.9285,2931.13,1553.92,3063.80,1598.44,55.37,134.64,ok,9
29,0.233333,1,0.9243,2931.32,1553.79,3065.58,1599.08,55.41,136.45,ok,7
30,0.241667,1,0.9034,2931.75,1554.33,3067.68,1600.56,56.33,138.29,ok,6
31,0.250000,1,0.9285,2931.35,1553.95,3068.94,1601.29,55.60,140.18,ok,6
32,0.258333,1,0.9240,2931.70,1554.03,3070.69,1602.57,55.73,141.88,ok,8
33,0.266667,1,0.9126,2931.52,1554.08,3071.46,1603.62,56.03,143.13,ok,9
34,0.275000,1,0.9150,2931.44,1554.08,3071.87,1604.49,56.14,143.96,ok,8
35,0.283333,1,0.9070,2931.42,1553.99,3072.08,1605.13,55.90,144.47,ok,8
36,0.291667,1,0.9088,2931.51,1553.98,3072.23,1605.73,55.70,144.79,ok,8
37,0.300000,1,0.9041,2931.87,1554.45,3072.94,1607.13,56.26,145.45,ok,9
38,0.308333,1,0.8735,2931.94,1553.97,3073.59,1607.88,55.88,146.39,ok,9
39,0.316667,1,0.9003,2932.13,1554.10,3074.75,1609.55,55.72,147.68,ok,9
40,0.325000,1,0.9079,2932.25,1554.58,3076.15,1611.62,55.93,149.22,ok,12
41,0.333333,1,0.9404,2932.01,1553.87,3077.35,1612.77,55.63,150.96,ok,9
42,0.341667,1,0.9374,2932.21,1554.24,3079.07,1614.88,55.46,152.83,ok,6
43,0.350000,1,0.9053,2932.47,1554.86,3080.98,1616.62,56.70,154.72,ok,6
44,0.358333,1,0.8458,2932.75,1554.55,3082.82,1616.73,56.15,156.35,ok,7
45,0.366667,1,0.9055,2932.87,1554.36,3084.52,1616.53,55.90,157.90,ok,9
46,0.375000,1,0.9046,2932.63,1554.36,3085.53,1616.45,55.78,159.13,ok,8
47,0.383333,1,0.9302,2932.63,1554.68,3086.81,1616.67,56.02,160.40,ok,9
48,0.391667,1,0.9326,2932.74,1554.50,3088.48,1616.51,56.18,161.92,ok,9
49,0.400000,1,0.9096,2932.78,1554.88,3090.51,1617.07,56.18,163.89,ok,9
50,0.408333,1,0.8926,2932.93,1554.60,3093.12,1617.06,55.78,166.27,ok,10
51,0.416667,1,0.8981,2933.01,1554.67,3095.79,1617.41,56.47,168.81,ok,9
52,0.425000,1,0.9041,2933.20,1555.22,3098.55,1617.96,56.03,171.25,ok,7
53,0.433333,1,0.9132,2933.25,1555.18,3100.88,1617.77,56.09,173.29,ok,8
54,0.441667,1,0.9376,2933.15,1555.20,3102.99,1617.55,56.15,175.33,ok,7
55,0.450000,1,0.9251,2933.32,1555.19,3105.37,1617.28,56.02,177.33,ok,9
56,0.458333,1,0.9156,2933.67,1555.11,3107.99,1617.18,55.79,179.38,ok,10
57,0.466667,1,0.9234,2933.74,1555.25,3110.23,1617.41,56.39,181.40,ok,8
58,0.475000,1,0.9123,2933.79,1554.97,3111.99,1617.16,56.32,183.04,ok,10
59,0.483333,1,0.8929,2934.20,1555.11,3113.78,1616.80,56.56,184.22,ok,9
60,0.492083,1,0.6899,2934.24,1555.56,3114.59,1615.94,56.73,184.79,ok,8
61,0.500417,1,0.8415,2934.24,1555.05,3115.12,1613.94,55.96,185.06,ok,9
62,0.508750,1,0.8111,2934.17,1555.46,3115.15,1612.69,56.31,184.97,ok,11
63,0.517083,1,0.8313,2934.17,1555.65,3114.95,1610.99,55.84,184.63,ok,9
64,0.525417,1,0.8567,2934.07,1555.64,3114.44,1608.89,56.42,184.05,ok,9
65,0.533750,1,0.8902,2934.09,1555.96,3114.07,1606.89,56.32,183.44,ok,8
66,0.542083,1,0.9077,2934.05,1555.75,3113.65,1604.23,56.75,182.88,ok,6
67,0.550417,1,0.8962,2933.80,1555.94,3113.29,1602.19,56.10,182.69,ok,7
68,0.558750,1,0.8906,2934.09,1556.19,3113.77,1600.32,56.51,182.82,ok,9
69,0.567083,1,0.8794,2933.89,1555.92,3113.98,1598.01,55.84,183.14,ok,10
70,0.575417,1,0.8968,2933.93,1556.02,3114.49,1596.61,56.08,183.49,ok,8
71,0.583750,1,0.9088,2934.32,1556.23,3115.34,1596.21,56.45,183.97,ok,8
72,0.592083,1,0.7587,2934.38,1556.34,3115.93,1595.98,56.78,184.52,ok,8
73,0.600417,1,0.7916,2934.50,1556.64,3116.61,1596.13,56.76,185.17,ok,9
74,0.608750,1,0.8682,2934.54,1556.83,3116.98,1596.11,56.84,185.54,ok,9
75,0.617083,1,0.8940,2934.51,1557.18,3116.83,1595.81,56.82,185.51,ok,9
76,0.625417,1,0.8974,2934.32,1556.40,3116.05,1593.99,56.66,185.00,ok,8
77,0.633750,1,0.7849,2934.19,1556.42,3114.69,1592.54,56.24,183.84,ok,8
78,0.642083,1,0.9087,2933.61,1556.72,3112.41,1591.03,56.27,182.21,ok,8
79,0.650417,1,0.8482,2934.17,1556.14,3110.80,1588.72,56.43,180.09,ok,9
80,0.658750,1,0.9069,2933.61,1556.09,3107.57,1586.97,55.95,177.46,ok,8
81,0.667083,1,0.9347,2933.08,1555.98,3103.84,1585.06,55.99,174.28,ok,6
82,0.675417,1,0.8531,2933.39,1556.67,3100.71,1584.17,56.67,170.82,ok,9
83,0.683750,1,0.9325,2932.86,1556.37,3096.87,1582.93,56.33,167.52,ok,9
84,0.692083,1,0.9320,2932.30,1555.85,3093.04,1581.82,55.50,164.31,ok,7
85,0.700417,1,0.8863,2932.51,1555.48,3090.20,1580.78,55.51,161.33,ok,7
86,0.708750,1,0.9238,2932.76,1555.86,3087.55,1580.61,56.42,158.56,ok,7
